RXCUI,drug_name,therapeutic_subgroup,n_plans_total,rate_pa,rate_st,rate_ql,rate_pa_only,rate_pa_st,rate_pa_ql,rate_triple,rate_none,n_plans_pa,n_plans_st,n_plans_ql,n_plans_triple
312614,prednisolone 1 MG/ML Oral Solution,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",5026,0.32749701551929966,0.0,0.0,0.32749701551929966,0.0,0.0,0.0,0.6725029844807003,1646,0,0,0
312594,prazosin 2 MG Oral Capsule,ANTIHYPERTENSIVES,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
312593,prazosin 1 MG Oral Capsule,ANTIHYPERTENSIVES,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
312529,potassium chloride 8 MEQ Extended Release Oral Tablet,MINERAL SUPPLEMENTS,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
312515,potassium chloride 1.33 MEQ/ML Oral Solution,MINERAL SUPPLEMENTS,5076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
312743,quetiapine 100 MG Oral Tablet,PSYCHOLEPTICS,5085,0.043067846607669616,0.0,0.8237954768928221,0.0,0.0,0.043067846607669616,0.0,0.17620452310717796,219,0,4189,0
313134,sulfamethoxazole 40 MG/ML / trimethoprim 8 MG/ML Oral Suspension,ANTIBACTERIALS FOR SYSTEMIC USE,5079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
313123,sucralfate 100 MG/ML Oral Suspension,DRUGS FOR ACID RELATED DISORDERS,3654,0.0019157088122605363,0.0,0.0,0.0019157088122605363,0.0,0.0,0.0,0.9980842911877394,7,0,0,0
349482,sodium oxybate 500 MG/ML Oral Solution,,4135,1.0,0.0,0.9634824667472793,0.036517533252720676,0.0,0.9634824667472793,0.0,0.0,4135,0,3984,0
313096,spironolactone 25 MG Oral Tablet,DIURETICS,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
312962,simvastatin 5 MG Oral Tablet,LIPID MODIFYING AGENTS,5085,0.0,0.0,0.7054080629301869,0.0,0.0,0.0,0.0,0.2945919370698132,0,0,3587,0
